classA_001;classA_001;classA_001
MSASol43.msf;0.621;0.560
MSASol44.msf;0.621;0.560
MSASol45.msf;0.621;0.560
MSASol46.msf;0.621;0.560
MSASol47.msf;0.621;0.560
MSASol48.msf;0.621;0.560
MSASol49.msf;0.608;0.560
MSASol5.msf;0.621;0.560
MSASol50.msf;0.621;0.560
MSASol51.msf;0.621;0.560
MSASol52.msf;0.608;0.560
MSASol53.msf;0.621;0.560
MSASol54.msf;0.621;0.560
MSASol55.msf;0.621;0.560
MSASol56.msf;0.621;0.560
MSASol57.msf;0.621;0.560
MSASol58.msf;0.621;0.560
MSASol59.msf;0.621;0.560
MSASol6.msf;0.621;0.560
MSASol60.msf;0.621;0.560
MSASol61.msf;0.621;0.560
MSASol62.msf;0.621;0.560
MSASol63.msf;0.621;0.560
MSASol64.msf;0.621;0.560
MSASol65.msf;0.621;0.560
MSASol66.msf;0.608;0.560
MSASol67.msf;0.621;0.560
MSASol68.msf;0.621;0.560
MSASol69.msf;0.621;0.560
MSASol7.msf;0.621;0.560
MSASol70.msf;0.621;0.560
MSASol71.msf;0.621;0.560
MSASol72.msf;0.621;0.560
MSASol73.msf;0.608;0.560
MSASol74.msf;0.621;0.560
MSASol75.msf;0.621;0.560
MSASol76.msf;0.621;0.560
MSASol77.msf;0.621;0.560
MSASol78.msf;0.621;0.560
MSASol79.msf;0.621;0.560
MSASol8.msf;0.621;0.560
MSASol80.msf;0.621;0.560
MSASol81.msf;0.621;0.560
MSASol82.msf;0.621;0.560
MSASol83.msf;0.621;0.560
MSASol84.msf;0.621;0.560
MSASol85.msf;0.621;0.560
MSASol86.msf;0.621;0.560
MSASol87.msf;0.621;0.560
MSASol88.msf;0.621;0.560
MSASol89.msf;0.621;0.560
MSASol9.msf;0.621;0.560
MSASol90.msf;0.621;0.560
MSASol91.msf;0.621;0.560
MSASol92.msf;0.621;0.560
MSASol93.msf;0.608;0.560
MSASol94.msf;0.621;0.560
MSASol95.msf;0.621;0.560
MSASol96.msf;0.621;0.560
MSASol97.msf;0.621;0.560
MSASol98.msf;0.621;0.560
MSASol99.msf;0.621;0.560
classB2;classB2;classB2
MSASol0.msf;0.479;0.000
MSASol1.msf;0.479;0.000
MSASol10.msf;0.521;0.000
MSASol11.msf;0.479;0.000
MSASol12.msf;0.478;0.000
MSASol13.msf;0.479;0.000
MSASol14.msf;0.473;0.000
MSASol15.msf;0.502;0.000
MSASol16.msf;0.477;0.000
MSASol17.msf;0.487;0.000
MSASol18.msf;0.498;0.000
MSASol19.msf;0.498;0.000
MSASol2.msf;0.521;0.000
MSASol20.msf;0.498;0.000
MSASol21.msf;0.494;0.000
MSASol22.msf;0.499;0.000
MSASol23.msf;0.501;0.000
MSASol24.msf;0.509;0.000
MSASol25.msf;0.492;0.000
MSASol26.msf;0.478;0.000
MSASol27.msf;0.504;0.000
MSASol28.msf;0.521;0.000
MSASol29.msf;0.498;0.000
MSASol3.msf;0.521;0.000
MSASol30.msf;0.499;0.000
MSASol31.msf;0.521;0.000
MSASol32.msf;0.521;0.000
MSASol33.msf;0.502;0.000
MSASol34.msf;0.502;0.000
MSASol35.msf;0.497;0.000
MSASol36.msf;0.490;0.000
MSASol37.msf;0.508;0.000
MSASol38.msf;0.479;0.000
MSASol39.msf;0.504;0.000
MSASol4.msf;0.504;0.000
MSASol40.msf;0.504;0.000
MSASol41.msf;0.497;0.000
MSASol42.msf;0.479;0.000
MSASol43.msf;0.473;0.000
MSASol44.msf;0.499;0.000
MSASol45.msf;0.492;0.000
MSASol46.msf;0.521;0.000
MSASol47.msf;0.502;0.000
MSASol48.msf;0.487;0.000
MSASol49.msf;0.508;0.000
MSASol5.msf;0.501;0.000
MSASol50.msf;0.489;0.000
MSASol51.msf;0.496;0.000
MSASol52.msf;0.479;0.000
MSASol53.msf;0.497;0.000
MSASol54.msf;0.488;0.000
MSASol55.msf;0.479;0.000
MSASol56.msf;0.500;0.000
MSASol57.msf;0.521;0.000
MSASol58.msf;0.499;0.000
MSASol59.msf;0.497;0.000
MSASol6.msf;0.474;0.000
MSASol60.msf;0.500;0.000
MSASol61.msf;0.487;0.000
MSASol62.msf;0.492;0.000
MSASol63.msf;0.488;0.000
MSASol64.msf;0.487;0.000
MSASol65.msf;0.521;0.000
MSASol66.msf;0.505;0.000
MSASol67.msf;0.500;0.000
MSASol68.msf;0.501;0.000
MSASol69.msf;0.509;0.000
MSASol7.msf;0.496;0.000
MSASol70.msf;0.499;0.000
MSASol71.msf;0.505;0.000
MSASol72.msf;0.504;0.000
MSASol73.msf;0.487;0.000
MSASol74.msf;0.499;0.000
MSASol75.msf;0.487;0.000
MSASol76.msf;0.505;0.000
MSASol77.msf;0.504;0.000
MSASol78.msf;0.500;0.000
MSASol79.msf;0.521;0.000
MSASol8.msf;0.490;0.000
MSASol80.msf;0.504;0.000
MSASol81.msf;0.500;0.000
MSASol82.msf;0.501;0.000
MSASol83.msf;0.498;0.000
MSASol84.msf;0.474;0.000
MSASol85.msf;0.502;0.000
MSASol86.msf;0.499;0.000
MSASol87.msf;0.496;0.000
MSASol88.msf;0.504;0.000
MSASol89.msf;0.521;0.000
MSASol9.msf;0.496;0.000
MSASol90.msf;0.504;0.000
MSASol91.msf;0.499;0.000
MSASol92.msf;0.509;0.000
MSASol93.msf;0.496;0.000
MSASol94.msf;0.502;0.000
MSASol95.msf;0.505;0.000
MSASol96.msf;0.496;0.000
MSASol97.msf;0.505;0.000
MSASol98.msf;0.500;0.000
MSASol99.msf;0.496;0.000
classF;classF;classF
MSASol0.msf;0.569;0.500
MSASol1.msf;0.570;0.520
MSASol10.msf;0.569;0.500
MSASol11.msf;0.570;0.520
MSASol12.msf;0.570;0.520
MSASol13.msf;0.570;0.520
MSASol14.msf;0.570;0.520
MSASol15.msf;0.570;0.520
MSASol16.msf;0.572;0.520
MSASol17.msf;0.570;0.520
MSASol18.msf;0.572;0.520
MSASol19.msf;0.571;0.520
MSASol2.msf;0.569;0.500
MSASol20.msf;0.569;0.510
MSASol21.msf;0.571;0.520
MSASol22.msf;0.570;0.520
MSASol23.msf;0.570;0.520
MSASol24.msf;0.572;0.520
MSASol25.msf;0.570;0.520
MSASol26.msf;0.572;0.520
MSASol27.msf;0.572;0.520
MSASol28.msf;0.572;0.520
MSASol29.msf;0.570;0.520
MSASol3.msf;0.570;0.520
MSASol30.msf;0.570;0.520
MSASol31.msf;0.570;0.520
MSASol32.msf;0.570;0.520
MSASol33.msf;0.570;0.520
MSASol34.msf;0.570;0.520
MSASol35.msf;0.571;0.520
MSASol36.msf;0.571;0.520
MSASol37.msf;0.572;0.520
MSASol38.msf;0.572;0.520
MSASol39.msf;0.570;0.520
MSASol4.msf;0.570;0.520
MSASol40.msf;0.570;0.520
MSASol41.msf;0.572;0.520
MSASol42.msf;0.570;0.520
MSASol43.msf;0.570;0.520
MSASol44.msf;0.570;0.520
MSASol45.msf;0.570;0.520
MSASol46.msf;0.570;0.520
MSASol47.msf;0.571;0.520
MSASol48.msf;0.572;0.520
MSASol49.msf;0.570;0.520
MSASol5.msf;0.572;0.520
MSASol50.msf;0.570;0.520
MSASol51.msf;0.570;0.520
MSASol52.msf;0.571;0.520
MSASol53.msf;0.571;0.520
MSASol54.msf;0.570;0.520
MSASol55.msf;0.570;0.520
MSASol56.msf;0.572;0.520
MSASol57.msf;0.570;0.520
MSASol58.msf;0.570;0.520
MSASol59.msf;0.570;0.520
MSASol6.msf;0.570;0.520
MSASol60.msf;0.572;0.520
MSASol61.msf;0.572;0.520
MSASol62.msf;0.570;0.520
MSASol63.msf;0.571;0.520
MSASol64.msf;0.572;0.520
MSASol65.msf;0.570;0.520
MSASol66.msf;0.570;0.520
MSASol67.msf;0.571;0.520
MSASol68.msf;0.571;0.520
MSASol69.msf;0.570;0.520
MSASol7.msf;0.572;0.520
MSASol70.msf;0.571;0.520
MSASol71.msf;0.572;0.520
MSASol72.msf;0.572;0.520
MSASol73.msf;0.570;0.520
MSASol74.msf;0.571;0.520
MSASol75.msf;0.570;0.520
MSASol76.msf;0.570;0.520
MSASol77.msf;0.572;0.520
MSASol78.msf;0.572;0.520
MSASol79.msf;0.570;0.520
MSASol8.msf;0.569;0.510
MSASol80.msf;0.570;0.520
MSASol81.msf;0.570;0.520
MSASol82.msf;0.569;0.510
MSASol83.msf;0.570;0.520
MSASol84.msf;0.570;0.520
MSASol85.msf;0.570;0.520
MSASol86.msf;0.572;0.520
MSASol87.msf;0.570;0.520
MSASol88.msf;0.570;0.520
MSASol89.msf;0.571;0.520
MSASol9.msf;0.570;0.520
MSASol90.msf;0.570;0.520
MSASol91.msf;0.570;0.520
MSASol92.msf;0.570;0.510
MSASol93.msf;0.571;0.520
MSASol94.msf;0.571;0.520
MSASol95.msf;0.571;0.520
MSASol96.msf;0.570;0.520
MSASol97.msf;0.570;0.520
MSASol98.msf;0.570;0.520
MSASol99.msf;0.570;0.520
classT2;classT2;classT2
MSASol0.msf;0.906;0.760
MSASol1.msf;0.889;0.660
MSASol10.msf;0.889;0.660
MSASol11.msf;0.895;0.660
MSASol12.msf;0.898;0.660
MSASol13.msf;0.888;0.670
MSASol14.msf;0.897;0.680
MSASol15.msf;0.894;0.660
MSASol16.msf;0.889;0.660
MSASol17.msf;0.897;0.670
MSASol18.msf;0.889;0.660
MSASol19.msf;0.888;0.670
MSASol2.msf;0.889;0.660
